,episode,score
0,1,12
1,2,11
2,3,45
3,4,18
4,5,49
5,6,18
6,7,29
7,8,20
8,9,19
9,10,26
10,11,61
11,12,32
12,13,24
13,14,21
14,15,30
15,16,33
16,17,19
17,18,10
18,19,18
19,20,25
20,21,13
21,22,13
22,23,25
23,24,10
24,25,26
25,26,12
26,27,41
27,28,22
28,29,24
29,30,11
30,31,21
31,32,16
32,33,16
33,34,42
34,35,14
35,36,27
36,37,13
37,38,15
38,39,29
39,40,15
40,41,14
41,42,19
42,43,16
43,44,17
44,45,18
45,46,17
46,47,41
47,48,21
48,49,16
49,50,17
50,51,24
51,52,12
52,53,16
53,54,26
54,55,20
55,56,24
56,57,8
57,58,13
58,59,12
59,60,23
60,61,15
61,62,16
62,63,13
63,64,20
64,65,31
65,66,12
66,67,18
67,68,42
68,69,16
69,70,13
70,71,21
71,72,11
72,73,18
73,74,14
74,75,22
75,76,20
76,77,23
77,78,21
78,79,28
79,80,14
80,81,26
81,82,44
82,83,24
83,84,30
84,85,35
85,86,14
86,87,19
87,88,35
88,89,53
89,90,20
90,91,15
91,92,36
92,93,18
93,94,24
94,95,23
95,96,18
96,97,19
97,98,18
98,99,18
99,100,24
100,101,16
101,102,9
102,103,38
103,104,34
104,105,12
105,106,33
106,107,15
107,108,13
108,109,15
109,110,28
110,111,31
111,112,22
112,113,12
113,114,13
114,115,40
115,116,22
116,117,14
117,118,14
118,119,40
119,120,16
120,121,39
121,122,35
122,123,13
123,124,18
124,125,63
125,126,18
126,127,28
127,128,22
128,129,52
129,130,16
130,131,16
131,132,20
132,133,16
133,134,281
134,135,166
135,136,204
136,137,185
137,138,141
138,139,190
139,140,157
140,141,207
141,142,170
142,143,163
143,144,147
144,145,189
145,146,212
146,147,206
147,148,149
148,149,132
149,150,185
150,151,213
151,152,135
152,153,175
153,154,178
154,155,213
155,156,143
156,157,178
157,158,226
158,159,294
159,160,223
160,161,219
161,162,262
162,163,240
163,164,348
164,165,150
165,166,242
166,167,194
167,168,399
168,169,247
169,170,199
170,171,200
171,172,215
172,173,184
173,174,263
174,175,192
175,176,195
176,177,158
177,178,248
178,179,263
179,180,139
180,181,169
181,182,177
182,183,137
183,184,264
184,185,122
185,186,193
186,187,218
187,188,259
188,189,199
189,190,212
190,191,248
191,192,387
192,193,251
193,194,235
194,195,307
195,196,151
196,197,248
197,198,232
198,199,217
199,200,197
200,201,137
201,202,129
202,203,216
203,204,210
204,205,224
205,206,137
206,207,224
207,208,180
208,209,194
209,210,140
210,211,277
211,212,219
212,213,206
213,214,296
214,215,265
215,216,164
216,217,270
217,218,209
218,219,302
219,220,198
220,221,211
221,222,285
222,223,216
223,224,270
224,225,182
225,226,332
226,227,354
227,228,188
228,229,423
229,230,201
230,231,401
231,232,201
232,233,468
233,234,268
234,235,275
235,236,373
236,237,256
237,238,229
238,239,261
239,240,232
240,241,313
241,242,255
242,243,217
243,244,500
244,245,270
245,246,305
246,247,325
247,248,416
248,249,308
249,250,263
250,251,476
251,252,462
252,253,500
253,254,382
254,255,348
255,256,500
256,257,500
257,258,197
258,259,500
259,260,500
260,261,500
261,262,500
262,263,500
263,264,460
264,265,424
265,266,462
266,267,500
267,268,500
268,269,141
269,270,482
270,271,461
271,272,358
272,273,364
273,274,490
274,275,352
275,276,411
276,277,429
277,278,461
278,279,480
279,280,422
280,281,438
281,282,421
282,283,484
283,284,302
284,285,396
285,286,472
286,287,416
287,288,500
288,289,328
289,290,359
290,291,419
291,292,387
292,293,492
293,294,428
294,295,500
295,296,490
296,297,500
297,298,500
298,299,500
299,300,500
300,301,500
301,302,500
302,303,500
303,304,425
304,305,500
305,306,500
306,307,500
307,308,500
308,309,500
309,310,128
310,311,500
311,312,500
312,313,500
313,314,291
314,315,307
315,316,315
316,317,326
317,318,298
318,319,294
319,320,318
320,321,327
321,322,371
322,323,357
323,324,316
324,325,345
325,326,357
326,327,376
327,328,389
328,329,421
329,330,336
330,331,419
331,332,415
332,333,374
333,334,475
334,335,492
335,336,489
336,337,426
337,338,468
338,339,498
339,340,500
340,341,500
341,342,500
342,343,500
343,344,500
344,345,500
345,346,500
346,347,500
347,348,500
348,349,500
349,350,500
350,351,500
351,352,500
352,353,500
353,354,500
354,355,500
355,356,500
356,357,500
357,358,500
358,359,500
359,360,500
360,361,500
361,362,500
362,363,500
363,364,500
364,365,500
365,366,500
366,367,500
367,368,500
368,369,500
369,370,500
370,371,500
371,372,500
372,373,500
373,374,500
374,375,500
375,376,500
376,377,500
377,378,500
378,379,500
379,380,500
380,381,500
381,382,500
382,383,500
383,384,500
384,385,500
385,386,500
386,387,104
387,388,500
388,389,500
389,390,500
390,391,500
391,392,500
392,393,500
393,394,500
394,395,500
395,396,500
396,397,500
397,398,500
398,399,500
399,400,500
400,401,500
