,episode,score
0,1,15
1,2,14
2,3,12
3,4,60
4,5,10
5,6,12
6,7,10
7,8,29
8,9,38
9,10,40
10,11,21
11,12,34
12,13,39
13,14,16
14,15,46
15,16,21
16,17,14
17,18,24
18,19,20
19,20,27
20,21,15
21,22,16
22,23,24
23,24,15
24,25,34
25,26,39
26,27,18
27,28,13
28,29,14
29,30,16
30,31,10
31,32,12
32,33,14
33,34,15
34,35,15
35,36,15
36,37,23
37,38,11
38,39,16
39,40,54
40,41,12
41,42,13
42,43,23
43,44,14
44,45,27
45,46,18
46,47,18
47,48,23
48,49,36
49,50,27
50,51,18
51,52,16
52,53,38
53,54,25
54,55,13
55,56,41
56,57,15
57,58,22
58,59,29
59,60,9
60,61,17
61,62,23
62,63,10
63,64,21
64,65,37
65,66,13
66,67,12
67,68,22
68,69,72
69,70,11
70,71,16
71,72,38
72,73,15
73,74,26
74,75,15
75,76,26
76,77,22
77,78,39
78,79,40
79,80,13
80,81,23
81,82,16
82,83,19
83,84,13
84,85,15
85,86,25
86,87,13
87,88,12
88,89,21
89,90,58
90,91,21
91,92,20
92,93,18
93,94,22
94,95,26
95,96,20
96,97,10
97,98,12
98,99,30
99,100,63
100,101,9
101,102,17
102,103,18
103,104,37
104,105,32
105,106,25
106,107,31
107,108,45
108,109,14
109,110,29
110,111,18
111,112,38
112,113,21
113,114,11
114,115,53
115,116,26
116,117,17
117,118,28
118,119,31
119,120,85
120,121,15
121,122,16
122,123,34
123,124,10
124,125,41
125,126,13
126,127,23
127,128,16
128,129,34
129,130,49
130,131,17
131,132,49
132,133,35
133,134,42
134,135,22
135,136,34
136,137,36
137,138,9
138,139,13
139,140,31
140,141,26
141,142,14
142,143,50
143,144,9
144,145,21
145,146,14
146,147,16
147,148,28
148,149,33
149,150,21
150,151,21
151,152,14
152,153,38
153,154,23
154,155,25
155,156,23
156,157,26
157,158,15
158,159,25
159,160,14
160,161,27
161,162,17
162,163,86
163,164,16
164,165,11
165,166,16
166,167,32
167,168,31
168,169,37
169,170,15
170,171,21
171,172,15
172,173,31
173,174,54
174,175,19
175,176,15
176,177,19
177,178,12
178,179,25
179,180,15
180,181,13
181,182,20
182,183,15
183,184,22
184,185,28
185,186,25
186,187,14
187,188,66
188,189,26
189,190,93
190,191,40
191,192,9
192,193,27
193,194,27
194,195,14
195,196,24
196,197,17
197,198,31
198,199,63
199,200,30
200,201,18
201,202,31
202,203,20
203,204,64
204,205,45
205,206,16
206,207,31
207,208,53
208,209,22
209,210,27
210,211,17
211,212,25
212,213,16
213,214,35
214,215,30
215,216,24
216,217,44
217,218,33
218,219,25
219,220,25
220,221,12
221,222,47
222,223,18
223,224,16
224,225,20
225,226,65
226,227,25
227,228,26
228,229,13
229,230,102
230,231,98
231,232,41
232,233,38
233,234,16
234,235,12
235,236,16
236,237,23
237,238,19
238,239,15
239,240,19
240,241,28
241,242,90
242,243,30
243,244,64
244,245,18
245,246,26
246,247,19
247,248,23
248,249,24
249,250,50
250,251,27
251,252,29
252,253,54
253,254,27
254,255,23
255,256,25
256,257,61
257,258,81
258,259,22
259,260,33
260,261,53
261,262,15
262,263,24
263,264,107
264,265,48
265,266,18
266,267,71
267,268,26
268,269,13
269,270,21
270,271,23
271,272,16
272,273,16
273,274,11
274,275,23
275,276,19
276,277,17
277,278,44
278,279,16
279,280,26
280,281,15
281,282,39
282,283,32
283,284,100
284,285,13
285,286,32
286,287,59
287,288,142
288,289,42
289,290,67
290,291,17
291,292,29
292,293,43
293,294,18
294,295,31
295,296,20
296,297,20
297,298,17
298,299,23
299,300,35
300,301,22
301,302,45
302,303,53
303,304,46
304,305,67
305,306,12
306,307,17
307,308,60
308,309,13
309,310,12
310,311,40
311,312,63
312,313,25
313,314,45
314,315,13
315,316,54
316,317,14
317,318,17
318,319,68
319,320,32
320,321,21
321,322,18
322,323,22
323,324,14
324,325,20
325,326,40
326,327,34
327,328,37
328,329,74
329,330,75
330,331,61
331,332,92
332,333,56
333,334,24
334,335,17
335,336,87
336,337,39
337,338,24
338,339,70
339,340,63
340,341,60
341,342,28
342,343,52
343,344,99
344,345,80
345,346,45
346,347,18
347,348,77
348,349,18
349,350,35
350,351,113
351,352,25
352,353,37
353,354,112
354,355,30
355,356,36
356,357,106
357,358,50
358,359,93
359,360,19
360,361,90
361,362,43
362,363,20
363,364,21
364,365,24
365,366,9
366,367,59
367,368,31
368,369,56
369,370,41
370,371,54
371,372,11
372,373,29
373,374,28
374,375,70
375,376,15
376,377,16
377,378,14
378,379,35
379,380,53
380,381,21
381,382,37
382,383,66
383,384,17
384,385,199
385,386,19
386,387,127
387,388,23
388,389,157
389,390,20
390,391,24
391,392,16
392,393,71
393,394,88
394,395,41
395,396,67
396,397,63
397,398,17
398,399,23
399,400,25
400,401,27
401,402,95
402,403,101
403,404,152
404,405,33
405,406,22
406,407,15
407,408,54
408,409,225
409,410,32
410,411,46
411,412,72
412,413,23
413,414,49
414,415,76
415,416,89
416,417,125
417,418,10
418,419,103
419,420,28
420,421,45
421,422,105
422,423,69
423,424,55
424,425,100
425,426,129
426,427,65
427,428,16
428,429,11
429,430,63
430,431,33
431,432,139
432,433,88
433,434,13
434,435,22
435,436,72
436,437,23
437,438,61
438,439,83
439,440,178
440,441,51
441,442,87
442,443,71
443,444,24
444,445,28
445,446,15
446,447,57
447,448,83
448,449,15
449,450,67
450,451,22
451,452,179
452,453,15
453,454,17
454,455,238
455,456,15
456,457,54
457,458,72
458,459,13
459,460,170
460,461,104
461,462,156
462,463,112
463,464,100
464,465,18
465,466,39
466,467,77
467,468,70
468,469,166
469,470,138
470,471,173
471,472,114
472,473,62
473,474,49
474,475,90
475,476,12
476,477,51
477,478,145
478,479,81
479,480,149
480,481,25
481,482,25
482,483,36
483,484,20
484,485,53
485,486,33
486,487,23
487,488,19
488,489,87
489,490,114
490,491,111
491,492,167
492,493,45
493,494,134
494,495,165
495,496,99
496,497,143
497,498,92
498,499,110
499,500,18
500,501,87
501,502,155
502,503,236
503,504,245
504,505,84
505,506,149
506,507,45
507,508,171
508,509,61
509,510,69
510,511,131
511,512,166
512,513,108
513,514,136
514,515,136
515,516,16
516,517,168
517,518,105
518,519,143
519,520,60
520,521,27
521,522,316
522,523,151
523,524,42
524,525,171
525,526,202
526,527,233
527,528,91
528,529,170
529,530,197
530,531,137
531,532,189
532,533,218
533,534,11
534,535,21
535,536,174
536,537,138
537,538,190
538,539,28
539,540,170
540,541,137
541,542,46
542,543,163
543,544,12
544,545,82
545,546,167
546,547,122
547,548,154
548,549,182
549,550,79
550,551,159
551,552,41
552,553,165
553,554,46
554,555,18
555,556,149
556,557,79
557,558,22
558,559,182
559,560,12
560,561,94
561,562,166
562,563,204
563,564,51
564,565,172
565,566,183
566,567,166
567,568,16
568,569,21
569,570,111
570,571,61
571,572,57
572,573,144
573,574,175
574,575,153
575,576,17
576,577,165
577,578,185
578,579,11
579,580,216
580,581,18
581,582,220
582,583,190
583,584,59
584,585,194
585,586,160
586,587,51
587,588,189
588,589,214
589,590,181
590,591,55
591,592,115
592,593,22
593,594,48
594,595,220
595,596,286
596,597,177
597,598,219
598,599,241
599,600,202
600,601,208
601,602,213
602,603,154
603,604,41
604,605,276
605,606,71
606,607,183
607,608,198
608,609,167
609,610,241
610,611,286
611,612,291
612,613,255
613,614,42
614,615,214
615,616,314
616,617,181
617,618,173
618,619,31
619,620,314
620,621,223
621,622,175
622,623,284
623,624,213
624,625,193
625,626,263
626,627,228
627,628,188
628,629,212
629,630,203
630,631,274
631,632,281
632,633,29
633,634,170
634,635,189
635,636,241
636,637,79
637,638,334
638,639,298
639,640,239
640,641,247
641,642,46
642,643,214
643,644,233
644,645,244
645,646,226
646,647,198
647,648,243
648,649,275
649,650,264
650,651,302
651,652,302
652,653,293
653,654,334
654,655,265
655,656,500
656,657,447
657,658,489
658,659,500
659,660,371
660,661,261
661,662,225
662,663,238
663,664,186
664,665,199
665,666,192
666,667,207
667,668,191
668,669,218
669,670,174
670,671,197
671,672,175
672,673,143
673,674,169
674,675,177
675,676,179
676,677,180
677,678,175
678,679,160
679,680,174
680,681,163
681,682,158
682,683,187
683,684,171
684,685,170
685,686,187
686,687,176
687,688,167
688,689,185
689,690,183
690,691,156
691,692,168
692,693,165
693,694,139
694,695,170
695,696,199
696,697,165
697,698,168
698,699,94
699,700,174
